Pair,Timestamp,Open,High,Low,Close,Volume
PEPEUSD,2025-04-02 11:45:00,0.000007450,0.000007450,0.000007450,0.000007450,0.00000
MOGUSD,2025-04-02 11:45:00,0.000000409,0.000000409,0.000000409,0.000000409,995966918.09000
PEPEEUR,2025-04-02 11:45:00,0.000006886,0.000006886,0.000006886,0.000006886,750000.00000
SHIBUSD,2025-04-02 11:45:00,0.00001239,0.00001239,0.00001239,0.00001239,366818.00000
BONKUSD,2025-04-02 11:45:00,0.000012410,0.000012410,0.000012410,0.000012410,0.00000
MOGEUR,2025-04-02 11:45:00,0.000000375,0.000000375,0.000000375,0.000000375,0.00000
SHIBEUR,2025-04-02 11:45:00,0.00001147,0.00001147,0.00001147,0.00001147,15000000.00000
APENFTUSD,2025-04-02 11:45:00,0.0000004379,0.0000004379,0.0000004379,0.0000004379,0.00000
SHIBUSDT,2025-04-02 11:45:00,0.00001239,0.00001239,0.00001239,0.00001239,0.00000
BONKEUR,2025-04-02 11:45:00,0.000011498,0.000011498,0.000011498,0.000011498,0.00000
